TIME,LAT,LON,STATE,HUMIDITY,PRECIP,RADIATION,SFCWIND,TEMP
2020-01-16T12:00:00,27.25,-81.75,FLORIDA,73.6726,0.82863176,153.1741,3.1499286,15.0173645
2020-02-15T12:00:00,27.25,-81.75,FLORIDA,77.48785,1.5693585,164.92053,2.8563533,19.96524
2020-03-16T12:00:00,27.25,-81.75,FLORIDA,72.91434,3.4145617,223.03792,3.142045,14.914886
2020-04-16T00:00:00,27.25,-81.75,FLORIDA,71.52691,2.5222678,269.53232,3.0300107,19.695618
2020-05-16T12:00:00,27.25,-81.75,FLORIDA,72.69482,3.575148,230.25208,3.1330218,22.423462
2020-06-16T00:00:00,27.25,-81.75,FLORIDA,74.10682,3.9816704,266.17288,2.3926818,24.930878
2020-07-16T12:00:00,27.25,-81.75,FLORIDA,76.42936,4.594914,249.17685,2.5805824,25.983948
2020-08-16T12:00:00,27.25,-81.75,FLORIDA,75.81068,4.825459,249.2799,2.3384163,26.566956
2020-09-16T00:00:00,27.25,-81.75,FLORIDA,80.31654,5.175745,207.37393,2.507777,25.4729
2020-10-16T12:00:00,27.25,-81.75,FLORIDA,79.12427,2.1208937,167.96413,3.0661254,23.513214
2020-11-16T00:00:00,27.25,-81.75,FLORIDA,80.404495,2.2901068,136.18588,2.777129,18.172424
2020-12-16T12:00:00,27.25,-81.75,FLORIDA,80.73832,2.0832968,141.30714,2.8713982,14.77179
2021-01-16T12:00:00,27.25,-81.75,FLORIDA,76.71578,1.9325178,153.6035,3.0763683,15.154236
2021-02-15T00:00:00,27.25,-81.75,FLORIDA,80.69191,3.5854616,158.36664,3.1372766,15.306732
2021-03-16T12:00:00,27.25,-81.75,FLORIDA,71.71274,1.1928385,225.60767,2.6674383,18.06836
2021-04-16T00:00:00,27.25,-81.75,FLORIDA,73.93618,4.150593,232.74078,3.351691,18.31314
2021-05-16T12:00:00,27.25,-81.75,FLORIDA,76.44381,3.1937141,263.3345,2.3078861,22.88147
2021-06-16T00:00:00,27.25,-81.75,FLORIDA,71.68138,3.317349,231.29784,2.4620855,24.74591
2021-07-16T12:00:00,27.25,-81.75,FLORIDA,80.36997,7.406306,237.62009,2.1768522,25.543488
2021-08-16T12:00:00,27.25,-81.75,FLORIDA,88.26154,12.196353,230.10127,2.1508825,25.272919
2021-09-16T00:00:00,27.25,-81.75,FLORIDA,82.71929,3.5156403,226.58502,2.88393,24.47107
2021-10-16T12:00:00,27.25,-81.75,FLORIDA,82.84463,3.1751974,170.99396,3.3273315,22.07071
2021-11-16T00:00:00,27.25,-81.75,FLORIDA,82.977104,3.1808329,145.79337,2.6777759,19.916473
2021-12-16T12:00:00,27.25,-81.75,FLORIDA,77.785965,0.56081194,141.40121,2.8165119,14.615204
2022-01-16T12:00:00,27.25,-81.75,FLORIDA,79.371994,3.1803448,147.48154,2.9089882,13.144653
2022-02-15T00:00:00,27.25,-81.75,FLORIDA,84.40628,3.0540159,161.22331,2.3908663,18.901215
2022-03-16T12:00:00,27.25,-81.75,FLORIDA,76.55713,1.5405247,208.6625,2.542171,19.004425
2022-04-16T00:00:00,27.25,-81.75,FLORIDA,69.92569,2.3660402,274.31012,2.8483443,19.977692
2022-05-16T12:00:00,27.25,-81.75,FLORIDA,68.23934,2.181219,229.58842,2.8318002,24.291626
2022-06-16T00:00:00,27.25,-81.75,FLORIDA,74.34372,4.74395,267.77203,2.321276,25.907501
2022-07-16T12:00:00,27.25,-81.75,FLORIDA,86.1071,9.213381,235.9671,2.0358412,25.41977
2022-08-16T12:00:00,27.25,-81.75,FLORIDA,86.34917,8.927946,233.43839,1.94324,25.316284
2022-09-16T00:00:00,27.25,-81.75,FLORIDA,81.67622,2.8143857,212.64098,2.3016393,23.910248
2022-10-16T12:00:00,27.25,-81.75,FLORIDA,80.91694,2.5185902,162.59175,3.0884995,21.898438
2022-11-16T00:00:00,27.25,-81.75,FLORIDA,74.211464,0.018506179,180.12009,2.4344819,16.531128
2022-12-16T12:00:00,27.25,-81.75,FLORIDA,78.50561,2.5871627,135.65053,2.8809915,13.430481
2023-01-16T12:00:00,27.25,-81.75,FLORIDA,76.30121,0.9207281,152.32121,3.3060477,13.540009
2023-02-15T00:00:00,27.25,-81.75,FLORIDA,75.07838,2.1790245,179.30643,3.457502,15.048401
2023-03-16T12:00:00,27.25,-81.75,FLORIDA,69.02457,0.57684547,241.78754,2.7241595,18.529877
2023-04-16T00:00:00,27.25,-81.75,FLORIDA,72.51713,3.6044202,228.15047,3.1352813,20.339539
2023-05-16T12:00:00,27.25,-81.75,FLORIDA,71.26944,3.4337802,263.6518,2.487908,23.536652
2023-06-16T00:00:00,27.25,-81.75,FLORIDA,73.67788,5.088186,242.33974,2.6006737,24.81543
2023-07-16T12:00:00,27.25,-81.75,FLORIDA,85.927055,7.635905,245.57936,2.3987725,24.691833
2023-08-16T12:00:00,27.25,-81.75,FLORIDA,84.31251,5.888062,235.92061,1.9056917,25.558533
2023-09-16T00:00:00,27.25,-81.75,FLORIDA,81.4383,3.2826345,241.94037,2.0676749,24.390198
2023-10-16T12:00:00,27.25,-81.75,FLORIDA,82.0619,4.493879,143.7039,3.5263288,22.812286
2023-11-16T00:00:00,27.25,-81.75,FLORIDA,82.67436,3.0223627,145.55937,2.718276,17.825562
2023-12-16T12:00:00,27.25,-81.75,FLORIDA,82.029655,1.8791376,128.78973,2.997708,15.695496
2024-01-16T12:00:00,27.25,-81.75,FLORIDA,81.398254,3.6374016,140.04518,3.2643685,15.016144
2024-02-15T12:00:00,27.25,-81.75,FLORIDA,81.9431,2.8522162,170.64102,3.3908262,16.513885
2024-03-16T12:00:00,27.25,-81.75,FLORIDA,77.71331,3.5912993,214.64702,3.1040146,15.700134
2024-04-16T00:00:00,27.25,-81.75,FLORIDA,72.9677,2.079979,256.71436,3.2437103,20.068512
2024-05-16T12:00:00,27.25,-81.75,FLORIDA,75.571495,2.2008123,257.09015,2.197525,22.7547
2024-06-16T00:00:00,27.25,-81.75,FLORIDA,75.58524,4.771808,261.20633,2.8740382,25.10556
2024-07-16T12:00:00,27.25,-81.75,FLORIDA,83.27098,10.166151,250.92442,1.8933711,26.258575
2024-08-16T12:00:00,27.25,-81.75,FLORIDA,83.70051,5.0738153,252.14978,2.0763192,25.714935
2024-09-16T00:00:00,27.25,-81.75,FLORIDA,77.1813,2.1613598,241.22997,2.2233024,25.336823
2024-10-16T12:00:00,27.25,-81.75,FLORIDA,82.647804,3.471964,155.83032,3.2714503,22.540466
2024-11-16T00:00:00,27.25,-81.75,FLORIDA,71.08147,0.3005717,168.97725,3.0728972,16.36847
2024-12-16T12:00:00,27.25,-81.75,FLORIDA,76.56346,2.148877,112.02385,2.5586438,17.75827
2025-01-16T12:00:00,27.25,-81.75,FLORIDA,78.90212,1.7841725,159.03825,3.119021,13.65332
2025-02-15T00:00:00,27.25,-81.75,FLORIDA,77.18079,2.832251,158.8358,3.2450168,15.048737
2025-03-16T12:00:00,27.25,-81.75,FLORIDA,68.540634,0.60061663,259.71185,3.2940872,16.164429
2025-04-16T00:00:00,27.25,-81.75,FLORIDA,69.483696,1.3058529,227.72324,2.725437,21.664642
2025-05-16T12:00:00,27.25,-81.75,FLORIDA,66.80422,3.3454008,223.0074,2.543583,24.218689
2025-06-16T00:00:00,27.25,-81.75,FLORIDA,86.701065,8.483142,240.77055,2.2276945,23.812592
2025-07-16T12:00:00,27.25,-81.75,FLORIDA,79.85083,3.4453614,270.21524,2.1660452,25.315857
2025-08-16T12:00:00,27.25,-81.75,FLORIDA,79.92992,6.3037863,252.16948,2.6323822,25.825012
2025-09-16T00:00:00,27.25,-81.75,FLORIDA,83.63727,6.5192404,211.68188,3.0819197,24.334503
2025-10-16T12:00:00,27.25,-81.75,FLORIDA,83.72622,4.3095193,172.42056,2.918395,22.05893
2025-11-16T00:00:00,27.25,-81.75,FLORIDA,80.6698,3.560967,153.43233,3.3298151,18.798767
2025-12-16T12:00:00,27.25,-81.75,FLORIDA,82.237816,2.0144958,129.22862,2.8334353,16.38681
2026-01-16T12:00:00,27.25,-81.75,FLORIDA,78.57644,1.0448048,142.56238,2.9197586,18.188385
2026-02-15T00:00:00,27.25,-81.75,FLORIDA,74.86784,0.93103546,155.73592,2.3250446,20.063354
2026-03-16T12:00:00,27.25,-81.75,FLORIDA,75.61688,3.2159755,213.04175,3.2351418,16.797607
2026-04-16T00:00:00,27.25,-81.75,FLORIDA,64.11468,0.53723145,253.30536,2.998783,20.782227
2026-05-16T12:00:00,27.25,-81.75,FLORIDA,68.79804,2.94479,271.78525,2.5628285,24.309174
2026-06-16T00:00:00,27.25,-81.75,FLORIDA,82.64919,8.122042,254.69508,2.150924,24.598358
2026-07-16T12:00:00,27.25,-81.75,FLORIDA,85.51172,10.508245,241.84332,2.9954743,25.031616
2026-08-16T12:00:00,27.25,-81.75,FLORIDA,86.87007,5.511795,237.64778,1.9799011,25.288696
2026-09-16T00:00:00,27.25,-81.75,FLORIDA,85.87915,4.7380185,201.31465,2.8633056,24.137909
2026-10-16T12:00:00,27.25,-81.75,FLORIDA,86.793335,4.7376275,165.49069,2.5704725,21.880707
2026-11-16T00:00:00,27.25,-81.75,FLORIDA,81.148605,1.6169538,154.02858,2.8039043,16.365356
2026-12-16T12:00:00,27.25,-81.75,FLORIDA,83.59804,1.1006577,140.62889,2.4854004,14.875061
